Feature	MeanAbsSHAP_RF
ECFP_116	0.00032255663408886463
ECFP_117	0.001214823630147952
ECFP_118	0.00036214721675926446
ECFP_119	0.0017861831766923773
ECFP_120	0.0001829218083007787
ECFP_121	0.0016978861735512773
ECFP_122	0.00023713765240593342
ECFP_123	0.00022412162140263416
ECFP_124	0.00022926775172945474
ECFP_125	0.00035896361117013144
ECFP_126	0.0002840160612323757
ECFP_127	0.00021523354637062973
ECFP_128	0.001641899117198768
ECFP_129	0.00017916965869466635
ECFP_130	0.0004082262902062496
ECFP_131	0.0005266653592236027
ECFP_132	0.0001520967731813346
ECFP_133	0.0005668808450493021
ECFP_134	0.00035124123803110635
ECFP_135	0.0001987545322686554
ECFP_136	0.0021477178007424367
ECFP_137	0.0001499713115643504
ECFP_138	0.0010673318444300584
ECFP_139	0.00042600742556446036
ECFP_140	0.0011204724668867321
ECFP_141	0.0007624339475873046
ECFP_142	0.00019476249700285683
ECFP_143	0.0002558521969301004
ECFP_144	0.00048391400710833324
ECFP_145	0.0002422778352159409
ECFP_146	0.0002962148713718028
ECFP_147	0.001544840382174366
ECFP_148	7.196944008549877e-05
ECFP_149	0.00023132651847287974
ECFP_150	0.00021499066520682802
ECFP_151	0.000871258589995382
ECFP_152	0.0006085586533441487
ECFP_153	0.00018012196483728582
ECFP_154	0.0008946904687141416
ECFP_155	0.00018474860788377664
ECFP_156	0.00010311494826993996
ECFP_157	0.0002264497323259041
ECFP_158	0.00019781422076002223
ECFP_159	0.00034828167006996244
ECFP_160	0.0003312593008842191
ECFP_161	8.376410002019751e-05
ECFP_162	0.00018660868788948382
ECFP_163	7.761814485913958e-05
ECFP_164	0.00014181312447398726
ECFP_165	0.00039578872845023134
ECFP_166	0.00022654835125929961
ECFP_167	6.114935164770442e-05
ECFP_168	0.0003381641572737519
ECFP_169	0.00021769515893735948
ECFP_170	8.216081231446267e-05
ECFP_171	0.001308416042112135
ECFP_172	9.482132840473562e-05
ECFP_173	0.0005591369296208639
ECFP_174	0.0003946990498779959
ECFP_175	0.0012815918562409964
ECFP_176	0.00015031841291719442
ECFP_177	0.0001368756560158136
ECFP_178	6.503037261939471e-05
ECFP_179	0.0017513466428729096
ECFP_180	0.00018697490888072845
ECFP_181	0.0002337165913103492
ECFP_182	0.00033752088673321974
ECFP_183	7.673966180262709e-05
ECFP_184	0.0013218446206390857
ECFP_185	0.0003662742967550034
ECFP_186	0.0004201884211346124
ECFP_187	0.00030125174197634543
ECFP_188	0.0005839797169041747
ECFP_189	0.0007151633656442633
ECFP_190	0.00023705861288304575
