Feature	MeanAbsSHAP_LogReg
ECFP_799	0.003794314149705977
ECFP_800	0.0014954900681331002
ECFP_801	0.01402599245283491
ECFP_802	0.0037079604341187593
ECFP_803	0.003122896095037108
ECFP_804	0.0015779480251650025
ECFP_805	0.001661862522448981
ECFP_806	0.017696930736110048
ECFP_807	0.049376662402551424
ECFP_808	0.0029877586354528007
ECFP_809	0.0027825170746538217
ECFP_810	0.00047318162554288445
ECFP_811	0.0022921911090877213
ECFP_812	0.0008431167065235216
ECFP_813	0.0026086175759078853
ECFP_814	0.003538782319335457
ECFP_815	0.0017874210642236776
ECFP_816	0.020717036956294094
ECFP_817	0.002930806284910911
ECFP_818	0.0018224698454099545
ECFP_819	0.0038811638110106037
ECFP_820	0.007799185537960991
ECFP_821	0.001992816667759697
ECFP_822	0.0020380403781504225
ECFP_823	0.019284286960932186
ECFP_824	0.003054093408884527
ECFP_825	0.010346382922618438
ECFP_826	0.0012673118391835461
ECFP_827	0.010332081404322487
ECFP_828	0.0022368266760702726
ECFP_829	0.02586645816886656
ECFP_830	0.004783656037068183
ECFP_831	0.022750176396150474
ECFP_832	0.007152181223596436
ECFP_833	0.00647892500988074
ECFP_834	0.005639310486931491
ECFP_835	0.0018739794637573962
ECFP_836	0.0015965300970681013
ECFP_837	0.010185615531616617
ECFP_838	0.003567483753063285
ECFP_839	0.0033817143167990333
ECFP_840	0.001206224470753527
ECFP_841	0.009172012149618302
ECFP_842	0.009433252624155144
ECFP_843	0.013946713891543288
ECFP_844	0.0006889576194969924
ECFP_845	0.013131841766590383
ECFP_846	0.0015033618475802238
ECFP_847	0.0028577284849690293
