Feature	MeanAbsSHAP_XGB
ECFP_842	0.013755092
ECFP_843	0.02023663
ECFP_844	0.0
ECFP_845	0.019880513
ECFP_846	0.0
ECFP_847	0.0
ECFP_848	0.0
ECFP_849	0.055139273
ECFP_850	0.0
ECFP_851	0.0
ECFP_852	0.006635596
ECFP_853	0.0074723414
ECFP_854	0.0
ECFP_855	0.0022355085
ECFP_856	0.0
ECFP_857	0.0013100619
ECFP_858	0.0
ECFP_859	0.00042674746
ECFP_860	0.00095345714
ECFP_861	0.00036271045
ECFP_862	0.0
ECFP_863	0.0
ECFP_864	0.0
ECFP_865	0.00025970058
ECFP_866	0.0
ECFP_867	0.0026072364
ECFP_868	0.0
ECFP_869	0.0
ECFP_870	0.00031904108
ECFP_871	0.0
ECFP_872	0.0006148276
ECFP_873	0.0
ECFP_874	0.0
ECFP_875	0.07856321
ECFP_876	0.0
ECFP_877	0.00027525975
ECFP_878	0.013558959
ECFP_879	0.0004254471
ECFP_880	0.0
ECFP_881	0.051205326
ECFP_882	0.0007664357
ECFP_883	0.0
ECFP_884	0.0007706018
ECFP_885	0.0021701725
ECFP_886	0.0005133433
ECFP_887	0.013262346
ECFP_888	0.003115632
ECFP_889	0.0
ECFP_890	0.008739942
ECFP_891	0.012146948
ECFP_892	0.0
ECFP_893	0.1431439
ECFP_894	0.0
ECFP_895	0.0
ECFP_896	0.027886828
ECFP_897	0.0019240774
ECFP_898	0.01789139
ECFP_899	0.00053211243
ECFP_900	0.0
ECFP_901	0.0
ECFP_902	0.0
ECFP_903	0.0
ECFP_904	0.021710772
ECFP_905	0.0
ECFP_906	0.0
ECFP_907	0.0
ECFP_908	0.0003470777
ECFP_909	0.00043401736
ECFP_910	0.00033772312
ECFP_911	0.0019955232
ECFP_912	0.00756796
ECFP_913	0.027737577
ECFP_914	0.002130187
ECFP_915	0.00439447
ECFP_916	0.0
ECFP_917	0.008335622
ECFP_918	0.003525462
ECFP_919	0.001511921
ECFP_920	0.0
ECFP_921	0.0
ECFP_922	0.03958592
ECFP_923	0.07561459
ECFP_924	0.0
ECFP_925	0.0
ECFP_926	0.20531256
ECFP_927	0.032520346
ECFP_928	0.00025442865
ECFP_929	0.00031679188
ECFP_930	0.0
ECFP_931	0.0030378061
ECFP_932	0.011873389
ECFP_933	0.0018738726
ECFP_934	0.0
ECFP_935	0.048688114
ECFP_936	0.0012850701
ECFP_937	0.0021474517
ECFP_938	0.00034179678
ECFP_939	0.00034347066
ECFP_940	0.0036189076
ECFP_941	0.004161459
ECFP_942	0.00034060088
ECFP_943	0.0
ECFP_944	0.0009103927
ECFP_945	0.0
ECFP_946	0.012358485
ECFP_947	0.0033642768
ECFP_948	0.00039069535
ECFP_949	0.0065210676
ECFP_950	0.0
ECFP_951	0.0016272247
ECFP_952	0.0
ECFP_953	0.001047508
ECFP_954	0.00039574737
ECFP_955	0.0026934014
ECFP_956	0.015420841
ECFP_957	0.0004098298
ECFP_958	0.0
ECFP_959	0.0
ECFP_960	0.008333905
ECFP_961	0.00047821767
ECFP_962	0.0
ECFP_963	0.0
ECFP_964	0.0
ECFP_965	0.0
ECFP_966	0.0057890294
ECFP_967	0.019853339
ECFP_968	0.0
ECFP_969	0.0010646386
ECFP_970	0.0019804658
